三時,TAM THỜI,ba giờ,
外国人,NGOẠI QUỐC NHÂN,người nước ngoài,
外の,NGOẠI,ngoài,
海外,HẢI NGOẠI,nước ngoài,
意外な,Ý NGOẠI,làm ngạc nhiên,
外す,NGOẠI,tẩy,
外科,NGOẠI KHOA,phẫu thuật,
右,HỮU,đúng,
右手,HỮU THỦ,đúng,
右足,HỮU TÚC,chân phải,
右側,HỮU TRẮC,đúng,
左右,TẢ HỮU,trái và phải,
右翼,HỮU DỰC,cánh phải,
左,TẢ,trái,
左手,TẢ THỦ,bàn tay trái,
左右,TẢ HỮU,trái và phải,
左翼,TẢ DỰC,người thuận tay trái,
左利き,TẢ LỢI,thuận tay trái,
後ろ,HẬU,phía sau,
クラスの後,HẬU,sau lớp học,
後で,HẬU,sau,
午後,NGỌ HẬU,buổi chiều,
最後,TỐI HẬU,cuối cùng,
後半,HẬU BÁN,nửa cuối,
後ほど,HẬU,sau,
後れる,HẬU,được trì hoãn,
午前,NGỌ TIỀN,buổi sáng,
午後,NGỌ HẬU,buổi chiều,
午前中,NGỌ TIỀN TRUNG,vào buổi sáng,
正午,CHÁNH NGỌ,buổi trưa,
間,GIAN,giữa,
時間,THỜI GIAN,thời gian,
二時間,NHỊ THỜI GIAN,hai giờ,
間に合う,GIAN HỢP,luôn đúng giờ,
間違い,GIAN VI,sai lầm,
人間,NHÂN GIAN,nhân loại,
世間,THẾ GIAN,thế giới,
西,TÂY,tây,
西口,TÂY KHẨU,cửa phía tây,
北西,BẮC TÂY,tây bắc,
南西,NAM TÂY,tây nam,
西洋,TÂY DƯƠNG,phía tây,
関西,QUAN TÂY,kansai,
東西,ĐÔNG TÂY,đông và tây,
大西洋,ĐẠI TÂY DƯƠNG,đại tây dương,
北,BẮC,bắc,
北口,BẮC KHẨU,bắc tuyển sinh,
北東,BẮC ĐÔNG,đông bắc,
東北地方,ĐÔNG BẮC ĐỊA PHƯƠNG,quận tohoku,
北海道,BẮC HẢI ĐẠO,hokkaido,
南北,NAM BẮC,nam và bắc,
北極,BẮC CỰC,bắc cực,
男の子,NAM TỬ,con trai,
男の人,NAM NHÂN,đàn ông,
男性,NAM TÍNH,đàn ông,
男子学生,"NAM TỬ HỌC SANH,SINH",sinh viên nam,
長男,TRƯỜNG NAM,con trai cả,
女の子,NỮ TỬ,cô gái,
男の子,NAM TỬ,con trai,
子供,TỬ CUNG,con cái,
電子辞書,ĐIỆN TỬ TỪ THƯ,từ điển điện tử,
女子学生,"NỮ TỬ HỌC SANH,SINH",nữ sinh viên,
男子学生,"NAM TỬ HỌC SANH,SINH",học sinh nam,
様子,DẠNG TỬ,xuất hiện,
学生,"HỌC SANH,SINH",sinh viên,
先生,"TIÊN SANH,SINH",giáo viên,
生まれる,"SANH,SINH",sinh,
生きる,"SANH,SINH",sống,
誕生日,"ĐẢN SANH,SINH NHẬT",ngày sinh nhật,
生える,"SANH,SINH",lớn lên,
生,"SANH,SINH",sống,
一生,"NHẤT SANH,SINH",cả đời,
何,HÀ,cái gì,
何か,HÀ,một cái gì đó,
何人,HÀ NHÂN,bất cứ người nào,
何時,HÀ THỜI,khi nào,
何でも,HÀ,bất cứ vật gì,
何度,HÀ ĐỘ,nhiều lần,
幾何学,KI HÀ HỌC,hình học,
母,MẪU,mẹ,
お母さん,MẪU,mom,
母の日,MẪU NHẬT,ngày của mẹ,
祖母,TỔ MẪU,bà ngoại,
父母,PHỤ MẪU,cha và mẹ,
祖父母,TỔ PHỤ MẪU,ông bà,
母語,MẪU NGỮ,tiêng mẹ đẻ,
叔母/伯母,THÚC MẪU BÁ MẪU,dì/dì,
去年,KHỨ NIÊN,năm ngoái,
過去,QUÁ KHỨ,quá khứ,
去る,KHỨ,rời khỏi,
消去する,TIÊU KHỨ,trong sáng,
除去する,TRỪ KHỨ,tẩy,
王,VƯƠNG,vua,
国王,QUỐC VƯƠNG,quốc vương,
王様,VƯƠNG DẠNG,vua,
女王,NỮ VƯƠNG,nữ hoàng,
王女,VƯƠNG NỮ,công chúa,
王子,VƯƠNG TỬ,hoàng tử,
王国,VƯƠNG QUỐC,kingdom,
お米,MỄ,cơm,
米屋,MỄ ỐC,cửa hàng gạo,
米国,MỄ QUỐC,mỹ,
欧米,ÂU MỄ,tây,
南米,NAM MỄ,nam mỹ,
北米,BẮC MỄ,bắc mỹ,
新米,TÂN MỄ,chú tiểu,
良い,LƯƠNG,tốt,
良心,LƯƠNG TÂM,lương tâm,
不良,BẤT LƯƠNG,thất bại,
奈良県,NẠI LƯƠNG HUYỆN,nara quận,
飲む,ẨM,uống,
飲み物,ẨM VẬT,uống,
飲み屋,ẨM ỐC,thanh,
飲み薬,ẨM DƯỢC,nội y,
飲食店,ẨM THỰC ĐIẾM,nhà hàng,
飲酒運転,ẨM TỬU VẬN CHUYỂN,say rượu lái xe,
飲料水,ẨM LIỆU THỦY,uống nước,
会う,HỘI,gặp,
会話,HỘI THOẠI,đàm thoại,
会社,HỘI XÃ,công ty,
会社員,HỘI XÃ VIÊN,nhân viên công ty,
会議,HỘI NGHỊ,hội nghị,
会場,"HỘI TRÀNG,TRƯỜNG",địa điểm,
国会,QUỐC HỘI,nghị viện,
会釈,HỘI THÍCH,gật đầu,
聞く,VĂN,nghe,
聞こえる,VĂN,nghe,
新聞,TÂN VĂN,báo,
聞き取る,VĂN THỦ,catch,
前代未聞,TIỀN ĐẠI VỊ VĂN,chưa từng có,
話す,THOẠI,nói,
話,THOẠI,câu chuyện,
会話,HỘI THOẠI,đàm thoại,
電話,ĐIỆN THOẠI,điện thoại,
世話,THẾ THOẠI,chăm sóc,
話題,THOẠI ĐỀ,chủ đề,
話し合う,THOẠI HỢP,bàn luận,
手話,THỦ THOẠI,ngôn ngữ cử chỉ,
待つ,ĐÃI,đợi,
招待する,CHIÊU ĐÃI,mời,
待合室,ĐÃI HỢP THẤT,phòng chờ,
待ち合わせる,ĐÃI HỢP,gặp,
期待する,KÌ ĐÃI,chờ đợi,
待望,ĐÃI VỌNG,hy vọng,
今週,KIM CHU,tuần này,
来週,LAI CHU,tuần tới,
先週,TIÊN CHU,tuần trước,
毎週,MỖI CHU,hàng tuần,
一週間,NHẤT CHU GIAN,một tuần,
週末,CHU MẠT,cuối tuần,
週刊,CHU SAN,hàng tuần,
高い,CAO,cao,
高校,CAO GIÁO,trung học,
高校生,"CAO GIÁO SANH,SINH",học sinh trung học,
最高,TỐI CAO,cao nhất,
高級,CAO CẤP,cao cấp,
高める,CAO,nâng cao,
円高,VIÊN CAO,yen mạnh,
残高,TÀN CAO,balance,
新しい,TÂN,mới,
新聞,TÂN VĂN,báo,
新幹線,TÂN CÁN TUYẾN,tàu cao tốc,
新年,TÂN NIÊN,năm mới,
新鮮な,TÂN TIÊN,tươi,
新たな,TÂN,tươi,
新潟,TÂN TÍCH,niigata,
元気な,NGUYÊN KHÍ,lanh lợi,
元日,NGUYÊN NHẬT,ngày đầu năm,
足元,TÚC NGUYÊN,chân,
地元,ĐỊA NGUYÊN,địa phương,
三次元,TAM THỨ NGUYÊN,ba chiều,
元,NGUYÊN,gốc,
紀元前,KỈ NGUYÊN TIỀN,trước công nguyên,
多い,ĐA,nhiều,
多分,ĐA ,có lẽ,
多少,ĐA THIỂU,hơi,
滅多に,DIỆT ĐA,hiếm,
多数決,"ĐA SỔ,SỐ QUYẾT",nguyên tắc đa số,
多数,"ĐA SỔ,SỐ",số,
多量,ĐA LƯỢNG,số lượng lớn,
少し,THIỂU,một chút,
少ない,THIỂU,ít,
少年,THIỂU NIÊN,con trai,
少女,THIỂU NỮ,cô gái,
少々,THIỂU,hơi,
減少,GIẢM THIỂU,giảm,
少量,THIỂU LƯỢNG,lượng nhỏ,
早い,TẢO,sớm,
早い,TẢO,sớm,
早く,TẢO,sớm,
早口,TẢO KHẨU,nói nhanh,
早送り,TẢO TỐNG,nhanh chóng chuyển tiếp,
早める,TẢO,vội,
早速,TẢO TỐC,ngay,
早朝,TẢO TRIỀU,sáng sớm,
明るい,MINH,sáng,
明日,MINH NHẬT,ngày mai,
説明,THUYẾT MINH,miêu tả,
証明書,CHỨNG MINH THƯ,giấy chứng nhận,
明後日,MINH HẬU NHẬT,ngày mốt,
打ち明ける,ĐẢ MINH,tâm sự,
明らか,MINH,trong sáng,
出る,XUẤT,rời khỏi,
出かける,XUẤT,đi ra,
出す,XUẤT,đặt ra,
出口,XUẤT KHẨU,lối ra,
思い出す,TƯ XUẤT,nhớ lại,
輸出,THÂU XUẤT,xuất khẩu,
出席,XUẤT TỊCH,sự tham dự,
提出,ĐỀ XUẤT,thông tin,
町,ĐINH,thành phố,
北山町,"BẮC SAN,SƠN ĐINH",thành phố kitayama,
町長,ĐINH TRƯỜNG,thị trưởng,
町民,ĐINH DÂN,dân tỉnh lỵ,
城下町,THÀNH HẠ ĐINH,thị trấn castle,
港町,CẢNG ĐINH,thành phố cảng,
雨,VŨ,mưa,
梅雨,MAI VŨ,mùa mưa,
大雨,ĐẠI VŨ,mưa nặng hạt,
雨季,VŨ QUÝ,mùa mưa,
暴風雨,"BẠO,BỘC PHONG VŨ",bão,
雨水,VŨ THỦY,nước mưa,
車,XA,xe hơi,
電車,ĐIỆN XA,tàu điện,
自動車,TỰ ĐỘNG XA,xe hơi,
自転車,TỰ CHUYỂN XA,xe đạp,
駐車場,"TRÚ XA TRÀNG,TRƯỜNG",đậu xe,
救急車,CỨU CẤP XA,xe cứu thương,
車いす,XA,xe lăn,
馬,MÃ,ngựa,
子馬,TỬ MÃ,ngựa con,
馬小屋,MÃ TIỂU ỐC,ổn định,
馬車,MÃ XA,xe ngựa,
乗車,THỪA XA,đi chơi,
競馬,CẠNH MÃ,đua ngựa,
馬鹿,MÃ LỘC,lừa gạt,
学校,HỌC GIÁO,trường học,
高校,CAO GIÁO,trung học,
中学校,TRUNG HỌC GIÁO,trung học cơ sở,
小学校,TIỂU HỌC GIÁO,trường tiểu học,
校長,GIÁO TRƯỜNG,hiệu trưởng,
校舎,GIÁO XÁ,xây dựng trường học,
効果,HIỆU QUẢ,hiệu ứng,
銀行,NGÂN HÀNH,ngân hàng,
銀,NGÂN,bạc,
水銀,THỦY NGÂN,thủy ngân,
銀色,NGÂN SẮC,bạc,
銀河,NGÂN HÀ,thiên hà,
病気,BỆNH KHÍ,căn bệnh,
病院,BỆNH VIỆN,bệnh viện,
看病する,KHÁN BỆNH,nuôi dưỡng để,
急病,CẤP BỆNH,bệnh đột ngột,
重病,TRỌNG BỆNH,bệnh nặng,
病む,BỆNH,suy nhược,
病,BỆNH,căn bệnh,
疾病,TẬT BỆNH,căn bệnh,
走る,TẨU,chạy,
ご馳走, TẨU,tiệc,
脱走,THOÁT TẨU,sự đào ngũ,
闘争,ĐẤU TRANH,cuộc tranh đấu,
走行,TẨU HÀNH,du lịch,
暴走族,"BẠO,BỘC TẨU TỘC",xe máy gang,
師走,SƯ TẨU,tháng 12 âm lịch,
貝,BỐI,động vật có vỏ,
貝殻,BỐI XÁC,vỏ sò,
巻き貝,QUYỂN BỐI,ốc xà cừ,
貝細工,BỐI TẾ CÔNG,trang trí bằng vỏ sò,
売る,MẠI,bán,
売れる,MẠI,bán,
売り切れる,MẠI THIẾT,nó được bán ra,
売り場,"MẠI TRÀNG,TRƯỜNG",bộ,
売店,MẠI ĐIẾM,cửa hàng,
自動販売機,TỰ ĐỘNG PHÁN MẠI CƠ,máy bán hàng tự động,
大売出し,ĐẠI MẠI XUẤT,big sale,
商売,THƯƠNG MẠI,kinh doanh,
読む,ĐỌC,đọc,
読み物,ĐỌC VẬT,tài liệu đọc,
読書,ĐỌC THƯ,cách đọc,
読者,ĐỌC GIẢ,đọc,
富士山,"PHÚ SĨ SAN,SƠN",núi fuji,
句読点,CÚ ĐỌC ĐIỂM,chấm câu,
愛読書,ÁI ĐỌC THƯ,cuốn sách yêu thích,
帰る,QUY,trở về,
帰国,QUY QUỐC,trở về nhà,
帰り,QUY,trở về,
行き帰り,HÀNH QUY,và trở lại,
日帰り旅行,NHẬT QUY LỮ HÀNH,chuyến đi trong ngày,
帰宅,QUY TRẠCH,trở về nhà,
帰化,QUY HÓA,tịch,
勉強する,MIỄN CƯỜNG,nghiên cứu,
勤勉な,CẦN MIỄN,chăm chỉ,
勉学,MIỄN HỌC,nghiên cứu,
虫,TRÙNG,côn trùng,
虫歯,TRÙNG XỈ,sâu răng,
弱虫,NHƯỢC TRÙNG,nhát gan,
昆虫,CÔN TRÙNG,côn trùng,
持つ,TRÌ,có,
お金持ち,KIM TRÌ,giàu có,
気持ち,KHÍ TRÌ,cảm giác,
持ち物,TRÌ VẬT,đồ dùng,
持ち上げる,TRÌ THƯỢNG,thang máy,
支持する,CHI TRÌ,ủng hộ,
維持する,DUY TRÌ,duy trì,
持続する,TRÌ TỤC,kiên gan,
夏,HẠ,mùa hè,
夏休み,HẠ HƯU,kỳ nghỉ hè,
夏服,HẠ PHỤC,mùa hè quần áo,
真夏,CHÂN HẠ,khoảng giữa mùa hè,
初夏,SƠ HẠ,đầu mùa hè,
夏至,HẠ CHÍ,hạ chí,
春夏秋冬,XUÂN HẠ THU ĐÔNG,xuân hạ thu đông,
冬,ĐÔNG,mùa đông,
冬休み,ĐÔNG HƯU,kỳ nghỉ mùa đông,
真冬,CHÂN ĐÔNG,thời gian giữa mùa đông,
冬至,ĐÔNG CHÍ,đông chí,
冬眠,ĐÔNG MIÊN,ngủ đông,
暖冬,NOÃN ĐÔNG,mùa đông ôn hòa,
春夏秋冬,XUÂN HẠ THU ĐÔNG,xuân hạ thu đông,
昼,TRÚ,buổi trưa,
昼間,TRÚ GIAN,ban ngày,
昼休み,TRÚ HƯU,ăn trưa,
昼ご飯,TRÚ PHẠN,bữa trưa,
昼食,TRÚ THỰC,bữa trưa,
昼寝,TRÚ TẨM,nap,
読み方,ĐỌC PHƯƠNG,cách đọc,
夕方,TỊCH PHƯƠNG,chiều,
あの方,PHƯƠNG,quý ông,
両方,LẠNG PHƯƠNG,cả hai,
方法,PHƯƠNG PHÁP,làm sao,
方向,PHƯƠNG HƯỚNG,phương hướng,
方言,PHƯƠNG NGÔN,thổ ngữ,
長方形,TRƯỜNG PHƯƠNG HÌNH,rectangle,
夜,DẠ,đêm,
今夜,KIM DẠ,tối nay,
夜中,DẠ TRUNG,nữa đêm,
夜明け,DẠ MINH,rạng đông,
深夜,THÂM DẠ,đêm khuya,
夜食,DẠ THỰC,cơm tối,
徹夜する,TRIỆT DẠ,thức cả đêm,
手,THỦ,tay,
下手な,HẠ THỦ,nghèo,
上手な,THƯỢNG THỦ,tốt,
手紙,THỦ CHỈ,thư,
お手洗い,THỦ TẨY,phòng vệ sinh,
切手,THIẾT THỦ,tem,
手伝う,THỦ TRUYỀN,giúp,
歌手,CA THỦ,ca sĩ,
体,THỂ,thân thể,
体重,THỂ TRỌNG,trọng lượng,
体操,THỂ THAO,thể dục,
体温,THỂ ÔN,nhiệt độ cơ thể,
全体,TOÀN THỂ,toàn thể,
団体,ĐOÀN THỂ,cơ quan,
世間体,THẾ GIAN THỂ,những người có địa vị,
体調,THỂ ĐIỀU,điều kiện vật lý,
山,"SAN,SƠN",núi,
山道,"SAN,SƠN ĐẠO",đường núi,
山田さん,"SAN,SƠN ĐIỀN",yamada,
火山,"HỎA SAN,SƠN",núi lửa,
山火事,"SAN,SƠN HỎA SỰ",wildfire,
登山,"ĐĂNG SAN,SƠN",thú leo núi,
山林,"SAN,SƠN LÂM",rừng núi,
森林,SÂM LÂM,rừng,
森田さん,SÂM ĐIỀN,morita,
森林,SÂM LÂM,rừng,
海,HẢI,biển,
北海道,BẮC HẢI ĐẠO,hokkaido,
海外,HẢI NGOẠI,nước ngoài,
エーゲ海,HẢI,biển aegean,
海岸,HẢI NGẠN,bờ biển,
海賊,HẢI TẶC,cướp biển,
海藻,HẢI TẢO,rong biển,
海水,HẢI THỦY,nước biển,
花,HOA,hoa,
花見,HOA KIẾN,ngắm hoa anh đào,
花火,HOA HỎA,pháo bông,
花屋,HOA ỐC,người bán hoa,
花嫁,HOA GIÁ,vị hôn thê,
生け花,"SANH,SINH HOA",ikebana,
花瓶,HOA BÌNH,cái bình,
花粉症,HOA PHẤN CHỨNG,khô như cỏ,
赤/赤い,XÍCH XÍCH,red/đỏ,
赤ちゃん,XÍCH,em bé,
赤字,XÍCH TỰ,hụt,
真っ赤,CHÂN XÍCH,đỏ sáng,
赤十字,XÍCH THẬP TỰ,chữ thập đỏ,
赤道,XÍCH ĐẠO,đường xích đạo,
赤飯,XÍCH PHẠN,gạo đỏ festive,
赤外線,XÍCH NGOẠI TUYẾN,hồng ngoại,
白/白い,BẠCH BẠCH,màu trắng/trắng,
白黒,BẠCH HẮC,đen và trắng,
面白い,DIỆN BẠCH,thú vị,
白髪,BẠCH PHÁT,tóc màu xám,
真っ白,CHÂN BẠCH,màu trắng tinh khiết,
白紙,BẠCH CHỈ,trắng,
白鳥,BẠCH ĐIỂU,chim thiên nga,
白夜,BẠCH DẠ,trắng đêm,
黒/黒い,HẮC HẮC,đen/đen,
白黒,BẠCH HẮC,đen và trắng,
黒猫,HẮC MIÊU,meo đen,
真っ黒,CHÂN HẮC,màu đen,
黒字,HẮC TỰ,số dư,
作る,TÁC,làm,
手作り,THỦ TÁC,làm bằng tay,
作文,TÁC VĂN,viết,
作品,TÁC PHẨM,công việc,
作家,TÁC GIA,họa sĩ,
操作,THAO TÁC,hoạt động,
名作,DANH TÁC,kiệt tác,
動作,ĐỘNG TÁC,cư xử,
料理,LIỆU LÍ,nấu ăn,
食料品,THỰC LIỆU PHẨM,tạp hóa,
無料, LIỆU,tự do,
料金,LIỆU KIM,học phí,
授業料,THỤ NGHIỆP LIỆU,học phí,
給料,CẤP LIỆU,tiền lương,
材料,TÀI LIỆU,vật chất,
資料,TƯ LIỆU,vật chất,
料理,LIỆU LÍ,nấu ăn,
無理な, LÍ,vô lý,
理由,LÍ DO,lý do,
地理,ĐỊA LÍ,địa lý,
修理,TU LÍ,sửa,
理想,LÍ TƯỞNG,lý tưởng,
理解,LÍ GIẢI,hiểu biết,
心理学,TÂM LÍ HỌC,tâm lý học,
ご飯,PHẠN,cơm,
朝ご飯,TRIỀU PHẠN,bữa ăn sáng,
昼ご飯,TRÚ PHẠN,bữa trưa,
晩ご飯,VÃN PHẠN,bữa tối,
飯,PHẠN,thức ăn,
炊飯器,XUY PHẠN KHÍ,nồi cơm điện,
牛,NGƯU,gia súc,
牛肉,NGƯU NHỤC,thịt bò,
牛乳,NGƯU NHŨ,sữa,
牡牛座, NGƯU TỌA,kim ngưu,
水牛,THỦY NGƯU,trâu,
牛丼,NGƯU ,bò bát,
闘牛,ĐẤU NGƯU,đấu bò,
肉,NHỤC,thịt,
牛肉,NGƯU NHỤC,thịt bò,
豚肉,ĐỒN NHỤC,thịt heo,
鳥肉,ĐIỂU NHỤC,thịt gia cầm,
肉屋,NHỤC ỐC,người bán thịt,
筋肉,CÂN NHỤC,bắp thịt,
皮肉,BÌ NHỤC,irony,
予定,DỮ ĐỊNH,kế hoạch,
予約,DỮ ƯỚC,đặt phòng,
予習,DỮ TẬP,sự chuẩn bị,
天気予報,THIÊN KHÍ DỮ BÁO,dự báo thời tiết,
予算,DỮ TOÁN,ngân sách,
予測,DỮ TRẮC,dự báo,
予防,DỮ PHÒNG,phòng ngừa,
予言,DỮ NGÔN,lời tiên tri,
野菜,DÃ THÁI,rau,
菜園,THÁI VIÊN,vườn rau,
菜の花,THÁI HOA,dòng mù tạt,
山菜,"SAN,SƠN THÁI",rau hoang dã,
菜食主義,THÁI THỰC CHỦ NGHĨA,ăn chay,
音楽,"ÂM NHẠC,LẠC",âm nhạc,
音楽,"ÂM NHẠC,LẠC",âm nhạc,
発音,PHÁT ÂM,phát âm,
録音,LỤC ÂM,máy thu âm,
音量,ÂM LƯỢNG,thể tích,
母音,MẪU ÂM,nguyên âm,
子音,TỬ ÂM,phụ âm,
本音,BỔN ÂM,bất ý,
歌,CA,bài hát,
歌う,CA,hát,
歌手,CA THỦ,ca sĩ,
歌詞,CA TỪ,lời bài hát,
短歌,ĐOẢN CA,tanka,
国家,QUỐC GIA,quốc gia,
校歌,GIÁO CA,bài hát của trường,
自転車,TỰ CHUYỂN XA,xe đạp,
運転,VẬN CHUYỂN,lái xe,
運転手,VẬN CHUYỂN THỦ,người lái xe,
転ぶ,CHUYỂN,rơi xuống,
転がる,CHUYỂN,cuộn,
回転寿司,"HỒI CHUYỂN  TI,TƯ",rotation sushi,
転職,CHUYỂN CHỨC,thay đổi nghề nghiệp,
転校,CHUYỂN GIÁO,thay đổi trường học,
写真,TẢ CHÂN,ảnh,
写す,TẢ,bản sao,
写真家,TẢ CHÂN GIA,nhiếp ảnh gia,
写生,"TẢ SANH,SINH",chân dung,
複写,PHỨC TẢ,bản sao,
描写する,MIÊU TẢ,miêu tả để,
写実主義,TẢ THỰC CHỦ NGHĨA,chủ nghĩa hiện thực,
二台,NHỊ THAI,hai đơn vị,
台所,THAI SỞ,nhà bếp,
台風,THAI PHONG,bão,
台,THAI,nền tảng,
舞代,VŨ ĐẠI,vô giá,
台湾,THAI LOAN,đài loan,
台本,THAI BỔN,nhạc kịch,
中央,TRUNG ƯƠNG,trung tâm,
中央線,TRUNG ƯƠNG TUYẾN,đường trung tâm,
中央集権,TRUNG ƯƠNG TẬP QUYỀN,tập trung,
映画,ÁNH HỌA,phim,
漫画,MẠN HỌA,hoạt họa,
計画,KẾ HỌA,kế hoạch,
画家,HỌA GIA,họa sĩ,
絵画,HỘI HỌA,bức tranh,
画数,"HỌA SỔ,SỐ",số nét,
画素,HỌA TỐ,điểm ảnh,
羊,DƯƠNG,con cừu,
小羊,TIỂU DƯƠNG,cừu,
羊毛,DƯƠNG MAO,len,
山羊,"SAN,SƠN DƯƠNG",con dê,
家,GIA,nhà,
家族,GIA TỘC,gia đình,
家庭,GIA ĐÌNH,nhà,
家内,GIA NỘI,vợ,
家事,GIA SỰ,công việc nhà,
大家,ĐẠI GIA,địa chủ,
家賃,GIA NHẪM,thuê,
山田家,"SAN,SƠN ĐIỀN GIA",nhà yamada,
矢,THỈ,mũi tên,
矢印,THỈ ẤN,mũi tên,
無理矢理, LÍ THỈ LÍ,ép buộc,
兄,HUYNH,em trai,
お兄さん,HUYNH,anh trai,
兄弟,HUYNH ĐỆ,em trai,
義兄,NGHĨA HUYNH,anh rể,
姉,"TỶ,TỈ",em gái,
お姉さん,"TỶ,TỈ",chị,
姉妹,"TỶ,TỈ MUỘI",chị gái,
姉妹都市,"TỶ,TỈ MUỘI ĐÔ THỊ",chị em thành phố,
弟,ĐỆ,em trai,
兄弟,HUYNH ĐỆ,em trai,
弟子,ĐỆ TỬ,môn sinh,
義弟,NGHĨA ĐỆ,anh rể,
妹,MUỘI,em gái,
姉妹,"TỶ,TỈ MUỘI",chị gái,
夫,PHU,chồng,
夫妻,PHU THÊ,các cặp vợ chồng,
夫婦,PHU PHỤ,vợ chồng,
大丈夫,ĐẠI  PHU,được rồi,
夫人,PHU NHÂN,bà.,
工夫,CÔNG PHU,phương sách,
丈夫な, PHU,lâu dài,
住む,TRỤ,sống,
住所,TRỤ SỞ,địa chỉ,
住民,TRỤ DÂN,cư dân,
住宅,TRỤ TRẠCH,nhà ở,
衣食住,Y THỰC TRỤ,"thực phẩm, quần áo và nơi trú ẩn",
移住する,DI TRỤ,xuất ngoại,
糸,MỊCH,chủ đề,
毛糸,MAO MỊCH,len,
釣り糸,ĐIẾU MỊCH,dây câu cá,
抜糸,BẠT MỊCH,tháo chỉ,
氏名,THỊ DANH,tên,
彼氏,BỈ THỊ,bạn trai,
大野氏,ĐẠI DÃ THỊ,họ ohno,
